date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
02:50:10	67/67	---M--	200	added ('OK')	text/plain	date:Mon,%2015%20Jun%202020%2021:20:10%20GMT	https://viewmypaycheckk.us/robots.txt		(from )
02:50:11	76278/76278	---M-Z	200	added ('OK')	text/html	date:Mon,%2015%20Jun%202020%2021:11:57%20GMT	https://viewmypaycheckk.us/	C:/Users/joshi/Desktop/HttrackSites/vmps/viewmypaycheckk.us/index.html	(from )
02:50:13	324231/324231	---MCZ	200	added ('OK')	text/css	date:Mon,%2015%20Jun%202020%2021:11:57%20GMT	https://viewmypaycheckk.us/wp-content/cache/min/1/4c2d46abad72ab291dffd1f1753905ba.css	C:/Users/joshi/Desktop/HttrackSites/vmps/viewmypaycheckk.us/wp-content/cache/min/1/4c2d46abad72ab291dffd1f1753905ba.css	(from https://viewmypaycheckk.us/)
02:50:14	9453/9453	---M-Z	200	added ('OK')	application/rss+xml	etag:%228d9e1594173ec4c56df17ebbf3478a5b-gzip%22	https://viewmypaycheckk.us/feed/	C:/Users/joshi/Desktop/HttrackSites/vmps/viewmypaycheckk.us/feed/index.html	(from https://viewmypaycheckk.us/)
02:50:16	45892/45892	---MC-	200	added ('OK')	text/javascript	date:Thu,%2030%20Apr%202020%2021:54:13%20GMT	http://www.google-analytics.com/analytics.js	C:/Users/joshi/Desktop/HttrackSites/vmps/www.google-analytics.com/analytics.js	(from https://viewmypaycheckk.us/)
02:50:16	202382/202382	---MCZ	200	added ('OK')	image/png	date:Wed,%2015%20Apr%202020%2021:32:13%20GMT	https://viewmypaycheckk.us/wp-content/uploads/2020/04/View-my-paycheck.png	C:/Users/joshi/Desktop/HttrackSites/vmps/viewmypaycheckk.us/wp-content/uploads/2020/04/View-my-paycheck.png	(from https://viewmypaycheckk.us/)
02:50:16	662/662	---M-Z	200	added ('OK')	image/png	date:Wed,%2015%20Apr%202020%2021:15:25%20GMT	https://viewmypaycheckk.us/wp-content/plugins/wp-rocket%203.4.1.2/assets/img/youtube.png	C:/Users/joshi/Desktop/HttrackSites/vmps/viewmypaycheckk.us/wp-content/plugins/wp-rocket%203.4.1.2/assets/img/youtube.png	(from https://viewmypaycheckk.us/)
02:50:18	23739/23739	---M-Z	200	added ('OK')	text/css	etag:%221544639719%22	http://maxcdn.bootstrapcdn.com/font-awesome/4.3.0/css/font-awesome.min.css?ver=4.3.0	C:/Users/joshi/Desktop/HttrackSites/vmps/maxcdn.bootstrapcdn.com/font-awesome/4.3.0/css/font-awesome.minb2f9.css	(from https://viewmypaycheckk.us/)
02:50:18	8087/8087	---M-Z	200	added ('OK')	application/rss+xml	etag:%227c57776f5f686eeb06aa946399b9a8b7-gzip%22	https://viewmypaycheckk.us/comments/feed/	C:/Users/joshi/Desktop/HttrackSites/vmps/viewmypaycheckk.us/comments/feed/index.html	(from https://viewmypaycheckk.us/)
02:50:18	7392/7392	---M-Z	200	added ('OK')	application/rss+xml	etag:%227c57776f5f686eeb06aa946399b9a8b7-gzip%22	https://viewmypaycheckk.us/intuit-view-my-paycheck-all-you-need-to-know-about-viewmypaycheck-login-signup/feed/	C:/Users/joshi/Desktop/HttrackSites/vmps/viewmypaycheckk.us/intuit-view-my-paycheck-all-you-need-to-know-about-viewmypaycheck-login-signup/feed/index.html	(from https://viewmypaycheckk.us/)
